Site,Sample,Aperture
KM1053,541,24.05
KM1053,541,23.98
KM1053,541,23.87
KM1053,541,23.72
KM1053,541,23.61
KM1053,541,23.32
KM1053,541,23.31
KM1053,541,23.21
KM1053,541,23.13
KM1053,541,23.12
KM1053,541,23.07
KM1053,541,23.02
KM1053,541,22.99
KM1053,541,22.94
KM1053,541,22.93
KM1053,541,22.92
KM1053,541,22.91
KM1053,541,22.71
KM1053,541,22.61
KM1053,541,22.55
KM1053,541,22.53
KM1053,541,22.33
KM1053,541,22.26
KM1053,541,22.25
KM1053,541,22.14
KM1053,541,22.14
KM1053,541,22.14
KM1053,541,22.06
KM1053,541,22.01
KM1053,541,21.97
KM1053,541,21.89
KM1053,541,21.88
KM1053,541,21.83
KM1053,541,21.73
KM1053,541,21.71
KM1053,541,21.68
KM1053,541,21.66
KM1053,541,21.61
KM1053,541,21.45
KM1053,541,21.43
KM1053,541,21.33
KM1053,541,21.26
KM1053,541,21.2
KM1053,541,21.02
KM1053,541,21
KM1053,541,20.87
KM1053,541,20.83
KM1053,541,20.64
KM1053,541,20.38
KM1053,541,20.27
KM1053,541,19.31
KM1053,541,18.95
KM1053,541,18.17
KM1054,545,25.12
KM1054,545,26.11
KM1054,545,24.64
KM1054,545,19.55
KM1054,545,26.03
KM1054,545,21.3
KM1054,545,24.53
KM1054,545,25.75
KM1054,545,20.48
KM1054,545,24.13
KM1054,545,23.67
KM1054,545,26.21
KM1054,545,25.08
KM1054,545,23.93
KM1054,545,20.54
KM1054,545,25.6
KM1054,545,21.89
KM1054,545,24.98
KM1054,545,23.17
KM1054,545,23.13
KM1054,545,18.23
KM1054,545,22.69
KM1056,928,19.81
KM1056,928,21.21
KM1057,201,22.64
KM1057,201,26.23
KM1057,201,26.19
KM1057,201,25.67
KM1057,201,25.64
KM1057,201,25.45
KM1057,201,24.87
KM1057,201,24.75
KM1057,201,24.63
KM1057,201,24.48
KM1057,201,24.35
KM1057,201,24.2
KM1057,201,24.2
KM1057,201,24.18
KM1057,201,24
KM1057,201,23.98
KM1057,201,23.82
KM1057,201,23.69
KM1057,201,23.68
KM1057,201,23.68
KM1057,201,23.67
KM1057,201,23.61
KM1057,201,23.5
KM1057,201,23.49
KM1057,201,23.45
KM1057,201,23.41
KM1057,201,23.4
KM1057,201,23.29
KM1057,201,23.28
KM1057,201,23.27
KM1057,201,23.2
KM1057,201,23.18
KM1057,201,23.17
KM1057,201,23.11
KM1057,201,22.93
KM1057,201,22.92
KM1057,201,22.83
KM1057,201,22.79
KM1057,201,22.74
KM1057,201,22.69
KM1057,201,22.67
KM1057,201,22.36
KM1057,201,22.25
KM1057,201,22.22
KM1057,201,22.22
KM1057,201,22.03
KM1057,201,21.96
KM1057,201,21.91
KM1057,201,21.89
KM1057,201,21.88
KM1057,201,21.88
KM1057,201,21.81
KM1057,201,21.64
KM1057,201,21.58
KM1057,201,21.48
KM1057,201,21.41
KM1057,201,21.39
KM1057,201,21.32
KM1057,201,21.32
KM1057,201,21.21
KM1057,201,21.14
KM1057,201,21.09
KM1057,201,21.06
KM1057,201,21.05
KM1057,201,21.01
KM1057,201,20.98
KM1057,201,20.94
KM1057,201,20.93
KM1057,201,20.92
KM1057,201,20.8
KM1057,201,20.77
KM1057,201,20.74
KM1057,201,20.6
KM1057,201,20.55
KM1057,201,20.48
KM1057,201,20.48
KM1057,201,20.46
KM1057,201,20.44
KM1057,201,20.43
KM1057,201,20.41
KM1057,201,20.07
KM1057,201,19.93
KM1057,201,19.83
KM1057,201,19.63
KM1057,201,19.6
KM1057,201,19.49
KM1057,201,19.42
KM1057,201,19.38
KM1057,201,19.24
KM1057,201,19.12
KM1057,202,26.92
KM1057,202,25.97
KM1057,202,25.38
KM1057,202,24.67
KM1057,202,24.6
KM1057,202,24.48
KM1057,202,24.19
KM1057,202,24.07
KM1057,202,23.8
KM1057,202,23.58
KM1057,202,23.57
KM1057,202,23.57
KM1057,202,23.53
KM1057,202,23.37
KM1057,202,23.35
KM1057,202,23.22
KM1057,202,23.21
KM1057,202,23.16
KM1057,202,22.98
KM1057,202,22.98
KM1057,202,22.73
KM1057,202,22.65
KM1057,202,22.61
KM1057,202,22.51
KM1057,202,22.42
KM1057,202,22.42
KM1057,202,22.28
KM1057,202,22.01
KM1057,202,21.94
KM1057,202,21.88
KM1057,202,21.79
KM1057,202,21.79
KM1057,202,21.79
KM1057,202,21.75
KM1057,202,21.65
KM1057,202,21.61
KM1057,202,21.52
KM1057,202,21.5
KM1057,202,21.5
KM1057,202,21.46
KM1057,202,21.43
KM1057,202,21.39
KM1057,202,21.37
KM1057,202,21.23
KM1057,202,21.2
KM1057,202,20.99
KM1057,202,20.89
KM1057,202,20.69
KM1057,202,20.65
KM1057,202,20.38
KM1057,202,20.22
KM1057,202,19.89
KM1057,202,19.68
KM1057,202,18.81
KM1057,202,18.8
KM1057,207,21.46
KM1057,207,25.66
KM1057,207,24.24
KM1057,207,20.73
KM1057,207,20.23
KM1057,203,26.89
KM1057,203,28.58
KM1057,203,27.52
KM1057,203,25.96
KM1057,203,25.71
KM1057,203,25.45
KM1057,203,25.3
KM1057,203,25.08
KM1057,203,24.99
KM1057,203,24.93
KM1057,203,24.92
KM1057,203,24.89
KM1057,203,24.82
KM1057,203,24.66
KM1057,203,24.53
KM1057,203,24.5
KM1057,203,24.43
KM1057,203,24.39
KM1057,203,24.34
KM1057,203,24.24
KM1057,203,24.12
KM1057,203,24
KM1057,203,23.94
KM1057,203,23.93
KM1057,203,23.88
KM1057,203,23.78
KM1057,203,23.74
KM1057,203,23.72
KM1057,203,23.68
KM1057,203,23.68
KM1057,203,23.47
KM1057,203,23.46
KM1057,203,23.43
KM1057,203,23.37
KM1057,203,23.16
KM1057,203,23.06
KM1057,203,22.92
KM1057,203,22.87
KM1057,203,22.87
KM1057,203,22.78
KM1057,203,22.76
KM1057,203,22.76
KM1057,203,22.62
KM1057,203,22.58
KM1057,203,22.53
KM1057,203,22.51
KM1057,203,22.48
KM1057,203,22.45
KM1057,203,22.41
KM1057,203,22.4
KM1057,203,22.31
KM1057,203,22.28
KM1057,203,22.2
KM1057,203,22.18
KM1057,203,22.18
KM1057,203,22.14
KM1057,203,22.02
KM1057,203,21.9
KM1057,203,21.81
KM1057,203,21.71
KM1057,203,21.35
KM1057,203,21.3
KM1057,203,20.98
KM1057,203,20.43
KM1057,203,20.3
KM1057,203,19.59
KM1057,204,23.9
KM1057,204,26.12
KM1057,204,26.08
KM1057,204,25.82
KM1057,204,25.79
KM1057,204,25.47
KM1057,204,25.21
KM1057,204,25.21
KM1057,204,25.19
KM1057,204,25.17
KM1057,204,25.06
KM1057,204,24.89
KM1057,204,24.77
KM1057,204,24.64
KM1057,204,24.61
KM1057,204,24.54
KM1057,204,24.37
KM1057,204,24.26
KM1057,204,24.09
KM1057,204,24.01
KM1057,204,23.99
KM1057,204,23.87
KM1057,204,23.64
KM1057,204,23.49
KM1057,204,23.22
KM1057,204,23.2
KM1057,204,23.18
KM1057,204,23.15
KM1057,204,23.12
KM1057,204,23.08
KM1057,204,23.02
KM1057,204,22.98
KM1057,204,22.93
KM1057,204,22.89
KM1057,204,22.8
KM1057,204,22.78
KM1057,204,22.77
KM1057,204,22.77
KM1057,204,22.68
KM1057,204,22.57
KM1057,204,22.46
KM1057,204,22.37
KM1057,204,22.24
KM1057,204,22.2
KM1057,204,22.1
KM1057,204,22.01
KM1057,204,22.01
KM1057,204,21.73
KM1057,204,21.65
KM1057,204,21.58
KM1057,204,21.55
KM1057,204,21.4
KM1057,204,21.19
KM1057,204,21.18
KM1057,204,20.86
KM1057,204,20.54
KM1057,204,20.5
KM1057,204,20.46
KM1057,205,19.31
KM1057,205,28.78
KM1057,205,27.83
KM1057,205,27.23
KM1057,205,27.07
KM1057,205,26.84
KM1057,205,26.35
KM1057,205,26.32
KM1057,205,26.24
KM1057,205,26.1
KM1057,205,25.74
KM1057,205,25.51
KM1057,205,25.45
KM1057,205,25.43
KM1057,205,25.16
KM1057,205,25.14
KM1057,205,25.11
KM1057,205,24.97
KM1057,205,24.88
KM1057,205,24.82
KM1057,205,24.75
KM1057,205,24.72
KM1057,205,24.71
KM1057,205,24.7
KM1057,205,24.7
KM1057,205,24.7
KM1057,205,24.68
KM1057,205,24.68
KM1057,205,24.63
KM1057,205,24.61
KM1057,205,24.55
KM1057,205,24.55
KM1057,205,24.42
KM1057,205,24.38
KM1057,205,24.37
KM1057,205,24.29
KM1057,205,24.27
KM1057,205,24.24
KM1057,205,24.19
KM1057,205,24.15
KM1057,205,24.13
KM1057,205,24.13
KM1057,205,24.06
KM1057,205,24.05
KM1057,205,23.98
KM1057,205,23.95
KM1057,205,23.94
KM1057,205,23.91
KM1057,205,23.9
KM1057,205,23.9
KM1057,205,23.9
KM1057,205,23.88
KM1057,205,23.87
KM1057,205,23.84
KM1057,205,23.79
KM1057,205,23.78
KM1057,205,23.76
KM1057,205,23.76
KM1057,205,23.75
KM1057,205,23.73
KM1057,205,23.72
KM1057,205,23.69
KM1057,205,23.47
KM1057,205,23.39
KM1057,205,23.31
KM1057,205,23.28
KM1057,205,23.21
KM1057,205,23.19
KM1057,205,23.12
KM1057,205,23.07
KM1057,205,23.01
KM1057,205,22.99
KM1057,205,22.89
KM1057,205,22.84
KM1057,205,22.73
KM1057,205,22.69
KM1057,205,22.67
KM1057,205,22.63
KM1057,205,22.62
KM1057,205,22.49
KM1057,205,22.48
KM1057,205,22.47
KM1057,205,22.46
KM1057,205,22.41
KM1057,205,22.33
KM1057,205,22.33
KM1057,205,22.26
KM1057,205,22.2
KM1057,205,22.1
KM1057,205,21.89
KM1057,205,21.89
KM1057,205,21.79
KM1057,205,21.65
KM1057,205,21.6
KM1057,205,21.58
KM1057,205,21.5
KM1057,205,21.46
KM1057,205,21.45
KM1057,205,21.43
KM1057,205,21.43
KM1057,205,21.39
KM1057,205,21.37
KM1057,205,21.28
KM1057,205,21.27
KM1057,205,21.27
KM1057,205,21.25
KM1057,205,21.25
KM1057,205,21.19
KM1057,205,21.12
KM1057,205,21.08
KM1057,205,21.07
KM1057,205,20.99
KM1057,205,20.87
KM1057,205,20.87
KM1057,205,20.78
KM1057,205,20.77
KM1057,205,20.62
KM1057,205,20.61
KM1057,205,20.47
KM1057,205,20.45
KM1057,205,20.44
KM1057,205,20.3
KM1057,205,20.24
KM1057,205,20.21
KM1057,205,20.16
KM1057,205,20.15
KM1057,205,20.08
KM1057,205,20
KM1057,205,19.97
KM1057,205,19.92
KM1057,205,19.73
KM1057,205,19.68
KM1057,205,19.67
KM1057,205,19.51
KM1057,205,19.49
KM1057,205,19
KM1057,205,18.99
KM1057,205,18.9
KM1057,205,18.85
KM1057,205,18.64
KM1057,205,18.56
KM1057,208,23.65
KM1057,208,27.94
KM1057,208,27.14
KM1057,208,26.54
KM1057,208,25.94
KM1057,208,25.08
KM1057,208,25.06
KM1057,208,25.03
KM1057,208,24.92
KM1057,208,24.9
KM1057,208,24.9
KM1057,208,24.9
KM1057,208,24.61
KM1057,208,24.57
KM1057,208,24.56
KM1057,208,24.52
KM1057,208,24.43
KM1057,208,24.37
KM1057,208,24.36
KM1057,208,24.26
KM1057,208,24.07
KM1057,208,24.04
KM1057,208,24.03
KM1057,208,23.98
KM1057,208,23.95
KM1057,208,23.68
KM1057,208,23.66
KM1057,208,23.58
KM1057,208,23.52
KM1057,208,23.46
KM1057,208,23.32
KM1057,208,23.21
KM1057,208,23.21
KM1057,208,23.16
KM1057,208,23.11
KM1057,208,23.07
KM1057,208,23.05
KM1057,208,22.95
KM1057,208,22.92
KM1057,208,22.91
KM1057,208,22.85
KM1057,208,22.72
KM1057,208,22.71
KM1057,208,22.64
KM1057,208,22.63
KM1057,208,22.52
KM1057,208,22.44
KM1057,208,22.43
KM1057,208,22.32
KM1057,208,22.31
KM1057,208,22.19
KM1057,208,22.17
KM1057,208,22.1
KM1057,208,22.04
KM1057,208,22
KM1057,208,21.96
KM1057,208,21.91
KM1057,208,21.87
KM1057,208,21.8
KM1057,208,21.76
KM1057,208,21.73
KM1057,208,21.63
KM1057,208,21.63
KM1057,208,21.55
KM1057,208,21.52
KM1057,208,21.49
KM1057,208,21.42
KM1057,208,21.38
KM1057,208,21.38
KM1057,208,21.34
KM1057,208,21.23
KM1057,208,21.19
KM1057,208,21.17
KM1057,208,21.07
KM1057,208,20.96
KM1057,208,20.92
KM1057,208,20.84
KM1057,208,20.78
KM1057,208,20.7
KM1057,208,20.59
KM1057,208,20.57
KM1057,208,20.48
KM1057,208,20.32
KM1057,208,20.24
KM1057,208,19.71
KM1057,208,19.51
KM1057,208,18.84
KM1057,208,18.72
KM1057,208,17.68
KM1057,209,23.28
KM1057,209,20.35
KM1057,209,21.85
KM1057,209,21.61
KM1057,209,22.91
KM1057,209,23.84
KM1057,209,23.01
KM1057,209,23.54
KM1057,209,23.98
KM1057,209,21.77
KM1057,209,21.61
KM1057,209,22.61
KM1057,209,24.3
KM1057,209,25.51
KM1057,209,23.69
KM1057,209,22.86
KM1057,209,24.94
KM1057,209,25.44
KM1057,209,21.98
KM1057,209,23.35
KM1057,209,25.26
KM1057,209,26.81
KM1057,209,22.1
KM1057,209,24.75
KM1057,209,21.59
KM1057,209,22.4
KM1057,209,25.07
KM1057,209,20.39
KM1057,209,22.43
KM1057,209,23.64
KM1057,209,18.87
KM1057,209,22.13
KM1057,209,25.04
KM1057,209,22.62
KM1057,209,20.55
KM1057,209,23.73
KM1057,209,21.83
KM1057,209,26.29
KM1057,209,20.24
KM1057,209,23.79
KM1057,209,22.2
KM1057,209,23.68
KM1057,209,21.92
KM1057,209,24.86
KM1057,209,24.86
KM1057,209,27.04
KM1057,209,24.5
KM1057,209,25.36
KM1057,209,25.06
KM1057,209,20.85
KM1057,209,24.34
KM1057,209,21.08
KM1057,209,21.66
KM1057,209,23.88
KM1057,209,21.3
KM1057,209,24.72
KM1057,210,19.72
KM1057,210,28.75
KM1057,210,25.89
KM1057,210,25.74
KM1057,210,25.53
KM1057,210,25.38
KM1057,210,25.3
KM1057,210,25.2
KM1057,210,25.18
KM1057,210,25.13
KM1057,210,24.95
KM1057,210,24.89
KM1057,210,24.52
KM1057,210,24.36
KM1057,210,24.32
KM1057,210,24.24
KM1057,210,24.12
KM1057,210,23.92
KM1057,210,23.87
KM1057,210,23.81
KM1057,210,23.62
KM1057,210,23.62
KM1057,210,23.48
KM1057,210,23.44
KM1057,210,23.21
KM1057,210,23.18
KM1057,210,23.14
KM1057,210,23.11
KM1057,210,23.06
KM1057,210,23.05
KM1057,210,23.04
KM1057,210,23.03
KM1057,210,23.02
KM1057,210,22.88
KM1057,210,22.86
KM1057,210,22.72
KM1057,210,22.71
KM1057,210,22.64
KM1057,210,22.61
KM1057,210,22.55
KM1057,210,22.55
KM1057,210,22.47
KM1057,210,22.47
KM1057,210,22.42
KM1057,210,22.39
KM1057,210,22.36
KM1057,210,22.18
KM1057,210,22.07
KM1057,210,22.05
KM1057,210,21.99
KM1057,210,21.97
KM1057,210,21.95
KM1057,210,21.8
KM1057,210,21.64
KM1057,210,21.58
KM1057,210,21.5
KM1057,210,21.5
KM1057,210,21.49
KM1057,210,21.32
KM1057,210,21.26
KM1057,210,21.21
KM1057,210,21.16
KM1057,210,21.08
KM1057,210,20.89
KM1057,210,20.88
KM1057,210,20.85
KM1057,210,20.82
KM1057,210,20.67
KM1057,210,20.65
KM1057,210,20.64
KM1057,210,20.57
KM1057,210,20.47
KM1057,210,20.43
KM1057,210,20.39
KM1057,210,20.32
KM1057,210,20.31
KM1057,210,20.27
KM1057,210,20.04
KM1057,210,19.93
KM1057,210,19.9
KM1057,210,19.9
KM1057,210,19.84
KM1057,210,19.69
KM1057,210,19.66
KM1057,210,19.61
KM1057,210,19.53
KM1057,210,19.48
KM1057,210,19.26
KM1057,210,19.19
KM1057,210,19.18
KM1057,210,18.83
KM1057,210,18.71
KM1057,210,18.35
KM1057,210,18.34
